date,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
12/14/2022,34.6167,0.6218,0.888,0.8827,1.2021,1.1382,0.8747,1.3085,0.7735,0.8481,0.9785,0.6325,0.4887,0.6644,0.5659,0.6032,0.6484,0.526,0.5686,0.7496,0.7842,0.6085,0.4195,0.51,0.8374,0.5952,0.4594,0.888,0.526,0.6963,0.6378,0.5819,0.4621,0.51,0.4941,0.4568,0.6058,0.8055,0.7442,1.4084,0.9584,0.8853,0.4302,0.7975,0.7735,0.7735,0.6937,0.7176,0.5925
12/13/2022,50.2325,1.1802,1.2351,1.2732,1.5266,1.459,1.0958,1.8686,1.1802,1.5477,1.5308,1.6786,1.2014,0.9269,0.6861,0.6819,0.8466,1.0451,0.8677,0.8424,0.8044,1.1042,0.6228,0.6692,1.0282,0.948,1.0704,1.3534,0.665,0.8593,0.8677,0.6481,0.7875,0.7748,0.5299,0.7157,0.8804,1.0451,1.1465,2.2272,1.4805,1.252,0.7115,1.0662,1.0662,0.7621,0.6946,1.0493,0.7284
12/12/2022,67.3098,1.6257,1.0741,1.7621,1.6553,2.978,2.4086,2.6043,2.2544,1.08,2.1713,2.4916,1.2342,1.3469,0.997,1.1571,1.602,1.1275,1.6079,1.2461,1.602,1.4418,0.9674,1.3885,1.4537,1.1631,1.0622,0.908,0.8072,1.4715,1.1749,0.8962,1.0622,1.0563,1.0029,0.6411,1.1156,1.2758,1.2283,1.485,1.0073,1.1987,1.8689,0.9021,1.5723,1.6198,1.3825,0.9555,1.1749
12/11/2022,8.2307,0.1697,0.1708,0.1721,0.1739,0.1724,0.1724,0.1738,0.1762,0.1736,0.1733,0.1699,0.1716,0.1706,0.1699,0.1715,0.17,0.1708,0.17,0.1709,0.1718,0.1715,0.1695,0.1721,0.1701,0.1708,0.1693,0.1733,0.1694,0.17,0.1715,0.1685,0.1696,0.1692,0.1698,0.1693,0.1703,0.17,0.1714,0.189,0.1809,0.1694,0.1694,0.169,0.1695,0.1717,0.1701,0.1718,0.1691
12/10/2022,41.5398,0.7603,0.9716,0.6932,1.0991,0.9683,0.8173,1.4177,1.25,1.0957,0.8811,0.9213,0.6698,0.7,0.7268,0.8341,0.8978,0.6631,0.8106,0.6798,0.9347,0.6463,0.8006,0.9783,0.6832,0.7134,0.539,1.2802,0.6463,0.8509,0.6362,0.388,0.6698,0.6396,0.5725,0.5155,0.6563,0.7804,0.767,3.0606,2.0119,1.0387,0.824,0.5188,0.6966,0.5893,0.6262,0.7939,0.824
12/9/2022,41.386,0.8878,0.9145,0.8745,1.2551,1.3919,1.3886,1.0147,1.5422,1.1248,0.8945,1.1682,0.9546,0.7008,0.7543,0.8644,0.7175,0.6374,0.6107,0.831,0.9012,0.781,0.9212,1.0915,0.5206,0.6574,0.6508,0.8978,0.5072,0.8778,0.8477,0.5873,0.6708,0.6675,0.6107,0.6808,0.7242,0.5573,0.801,0.9495,0.6658,0.9078,0.8978,0.9012,0.9546,0.8611,1.0714,0.9713,0.7242
12/8/2022,55.2327,0.8515,1.0546,0.7476,1.9946,1.1633,1.3664,1.1302,1.1019,1.7962,0.7901,1.3428,1.39,0.809,0.9838,0.8374,1.2577,1.116,1.1586,1.305,1.2105,0.7429,0.998,0.8138,0.6437,0.5823,0.7146,0.7429,0.7949,1.5411,1.1302,0.4737,0.6343,0.5162,0.6626,0.9177,0.8374,0.7004,1.0121,5.3726,3.4862,1.4467,0.8043,1.0877,1.1113,1.1113,0.7476,1.2152,0.9838
12/7/2022,41.3091,0.9961,0.9461,0.9528,1.4591,1.1959,1.4191,1.5423,1.1426,0.7129,0.8495,0.7462,0.683,0.5331,0.623,0.8262,0.7762,0.8195,0.653,0.7562,0.8695,0.6263,0.9261,0.7329,0.9727,0.5864,0.8595,1.0127,0.5764,1.2059,0.8395,0.603,0.5864,0.4764,0.5297,0.633,0.7396,0.9894,0.8362,1.3565,0.9254,0.5597,1.0793,0.9095,0.9761,0.8062,0.683,0.9661,0.8129
12/6/2022,41.0018,0.8861,0.6353,0.995,1.1204,1.4174,0.9884,1.1963,0.9983,0.7244,1.2029,0.9884,0.6188,0.7442,0.7871,0.5924,0.6947,0.8828,0.8366,0.6551,0.9686,0.6947,0.7805,0.9488,1.0016,0.8399,0.5132,0.5462,0.5231,0.5924,0.6221,0.698,0.6221,0.6881,0.5363,0.5627,0.7508,0.5495,0.6155,2.8207,1.859,0.7805,0.995,0.6188,0.5627,0.6881,1.0412,0.8729,0.7442
