date,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
12/14/2022,1.9239,0.0299,0.0543,0.0628,-0.0138,-0.1438,-0.0065,0.0646,-0.0138,0.019,0.0312,0.0761,0.0719,0.098,0.0615,0.0682,0.0804,0.0925,0.0895,0.0336,0.0451,0.0421,0.0591,0.0081,0.0609,0.1132,0.0561,-0.0053,0.0938,0.0172,0.0476,0.0865,0.1077,0.0938,0.0895,0.1102,0.0664,0.0986,0.0919,0.1265,-0.6499,0.0409,0.0257,0.0561,0.0694,0.0312,0.0792,0.0342,0.0725
12/13/2022,2.7916,0.0521,0.051,0.026,-0.0042,-0.0662,0.0417,0.0641,-0.0099,0.0823,0.0344,0.0906,0.0213,0.1073,0.0839,0.0552,0.0896,0.0578,0.051,0.0484,0.0599,0.075,0.0682,0.0354,0.0401,0.0641,0.1036,0.0479,0.0922,0.0693,0.0594,0.1068,0.1062,0.126,0.1141,0.0875,0.0953,0.0901,0.0839,0.1385,-0.4062,0.099,0.099,0.1021,0.0792,0.0682,0.0281,0.1026,0.0797
12/12/2022,3.7402,0.0879,0.0661,0.0546,-0.0003,0.0525,0.0563,0.0781,0.0823,0.0218,0.0393,0.1049,0.096,0.1036,0.1096,0.1075,0.0738,0.0747,0.1049,0.0725,0.0755,0.0955,0.1185,0.0972,0.096,0.1194,0.1202,0.0291,0.1151,0.0985,0.1079,0.1232,0.1006,0.1019,0.13,0.1053,0.0968,0.1041,0.0853,0.1384,-0.409,0.0836,0.0678,0.1109,0.1156,0.0789,0.0687,0.0806,0.0985
12/11/2022,0.4574,-0.0053,-0.0098,0.0181,-0.0785,-0.1252,-0.0581,-0.0415,0.0136,-0.0943,0.0143,-0.0988,-0.0355,0.0249,0.0075,0.0015,-0.0076,0.0339,0.0588,0.006,-0.0038,0.0249,0.0648,0.0317,0.0882,0.095,0.0543,0.0618,0.0897,-0.0362,0.0143,0.0746,0.0988,0.055,0.0724,0.1048,0.0377,0.0641,-0.0015,0.1292,-0.5954,-0.0227,0.0136,0.049,0.0837,0.0686,-0.0046,0.049,0.0724
12/10/2022,2.3085,0.0454,0.054,0.0255,-0.0593,-0.0462,0.013,0.0136,-0.0599,0.0551,0.0335,0.0164,0.0489,0.0847,0.0676,0.0466,0.0796,0.0631,0.0693,0.0671,0.0722,0.0534,0.0881,0.0449,0.0847,0.0745,0.075,0.0636,0.1035,0.0796,0.0733,0.1268,0.087,0.0972,0.1177,0.0938,0.0682,0.0921,0.0648,0.1337,-0.5038,0.091,0.0119,0.0625,0.0352,0.054,0.0722,0.0671,0.1063
12/9/2022,2.2995,0.0834,0.019,0.0891,-0.0083,-0.0066,0.0532,-0.0705,-0.0237,-0.0357,0.0874,0.0458,0.072,0.0857,0.1011,0.0458,0.0652,0.0629,0.0264,0.0339,0.0601,0.0874,0.0886,0.0515,0.1005,0.1091,0.072,0.1005,0.108,-0.0192,0.0652,0.1028,0.096,0.096,0.1091,0.1171,0.0909,0.0914,0.0829,0.1213,-0.7564,0.0966,0.0703,0.0903,0.0669,0.0527,0.0817,0.072,0.0681
12/8/2022,3.0692,0.0794,0.0838,0.0833,-0.0138,-0.0601,0.0242,0.0064,0.0473,0.0271,0.0084,0.0321,0.0833,0.0863,0.1016,0.0863,0.075,0.0838,0.1006,0.0917,0.0587,0.075,0.1134,0.1006,0.1139,0.111,0.0715,0.07,0.0971,0.0799,0.0991,0.1001,0.0858,0.1292,0.0917,0.1262,0.1001,0.1075,0.0809,0.1303,-0.5726,0.0735,0.0651,0.1055,0.0695,0.0843,0.0952,0.075,0.105
12/7/2022,2.2957,0.0851,0.0686,0.044,-0.0261,-0.0518,-0.0415,-0.0073,-0.0233,-0.025,0.0303,-0.0518,0.0566,0.1022,0.0554,0.0908,0.0714,0.0554,0.0788,0.0697,0.0309,0.0959,0.0497,0.0937,0.1022,0.1045,0.0668,-0.021,0.0959,0.0269,0.0663,0.1267,0.1216,0.1256,0.1148,0.0897,0.0686,0.0811,0.1062,0.141,-0.3553,0.0218,0.0024,0.0446,0.0885,0.0571,0.0526,0.0691,0.0463
12/6/2022,2.2788,0.0929,0.0334,0.1037,0.0316,-0.037,0.0379,0.0437,-0.0136,0.0145,-0.0187,0.0568,0.0814,0.0534,0.0843,0.0746,0.0288,0.078,0.0763,0.054,0.0259,0.0808,0.094,0.0677,0.0139,0.0986,0.058,-0.0187,0.0986,-0.001,0.0477,0.1163,0.0877,0.0837,0.0934,0.0786,0.0671,0.0522,0.0688,0.1337,-0.5036,0.0437,0.1089,0.0551,0.0751,0.0889,0.078,0.0477,0.062
