date,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
12/14/2022,19.4069,0.4256,0.3868,0.4416,0.6298,0.4724,0.5887,0.3503,0.4541,0.4587,0.3857,0.4963,0.3081,0.3378,0.2933,0.3127,0.3686,0.3081,0.348,0.4165,0.3766,0.3343,0.2967,0.4347,0.4621,0.372,0.4131,0.291,0.2842,0.5465,0.3925,0.315,0.3526,0.2864,0.2819,0.2978,0.356,0.3343,0.3321,0.1706,1.5818,0.3503,0.4815,0.4473,0.4427,0.3195,0.4564,0.3138,0.3001
12/13/2022,28.1614,0.6808,0.4953,0.6445,0.6465,0.6526,0.7614,0.6566,0.8138,0.3965,0.5296,0.828,0.6465,0.4429,0.5155,0.5235,0.4026,0.5316,0.457,0.4892,0.5397,0.5618,0.4348,0.4792,0.4731,0.582,0.5034,0.6405,0.4247,0.7816,0.5598,0.4328,0.4489,0.4147,0.4066,0.4832,0.4993,0.463,0.5558,0.1745,3.0097,0.4005,0.4993,0.6364,0.5074,0.4267,0.7009,0.5336,0.4731
12/12/2022,37.7353,0.8506,0.9636,0.577,1.1033,1.5553,1.1331,1.0141,0.7554,0.9457,0.9606,0.8208,0.6395,0.7554,0.577,0.7792,0.8208,0.5324,0.6067,0.58,0.6692,0.6305,0.8357,0.9636,0.7049,0.7614,0.5146,0.9874,0.5681,0.6543,0.5681,0.3927,0.4105,0.4819,0.3867,0.5919,0.5681,0.6186,0.4908,0.1798,4.9469,0.6157,0.6365,0.5175,0.4908,0.6157,0.5443,0.7435,0.6751
12/11/2022,4.6146,0.0824,0.0912,0.126,0.0844,0.0834,0.0502,0.0688,0.0258,0.0648,0.1064,0.0783,0.1057,0.1216,0.1132,0.0993,0.1155,0.1078,0.0935,0.1132,0.0864,0.122,0.0966,0.1105,0.081,0.1318,0.1301,0.081,0.1284,0.0959,0.1071,0.1403,0.1193,0.1403,0.1169,0.1227,0.1098,0.1118,0.1206,0.1657,-0.1875,0.0861,0.0881,0.1034,0.1254,0.0925,0.0732,0.0854,0.0983
12/10/2022,23.288,0.3929,0.5168,0.529,0.6559,0.9387,0.5015,0.555,0.6742,0.3608,0.529,0.5871,0.4113,0.4082,0.4373,0.4999,0.37,0.3776,0.4312,0.5106,0.4235,0.5106,0.448,0.4342,0.5229,0.4082,0.3333,0.6284,0.3654,0.633,0.3945,0.3348,0.3776,0.3914,0.315,0.4006,0.3608,0.3822,0.4831,0.1713,1.8544,0.3608,0.4633,0.4067,0.5397,0.4877,0.3562,0.3853,0.4281
12/9/2022,23.2019,0.4084,0.495,0.378,0.7155,0.6926,0.6227,0.4251,0.7975,0.6273,0.4616,0.644,0.34,0.3643,0.3689,0.3689,0.3704,0.4069,0.4373,0.4281,0.3977,0.4494,0.53,0.3749,0.5178,0.3704,0.3263,0.3841,0.3567,0.4388,0.4084,0.2776,0.3491,0.381,0.3947,0.3126,0.3643,0.4175,0.4737,0.1733,2.5968,0.5619,0.3795,0.4084,0.4585,0.3734,0.3765,0.4996,0.4965
12/8/2022,30.9648,0.7431,0.6857,0.479,0.9911,1.2093,1.0416,0.6857,0.7086,0.7155,0.8005,1.0232,0.5938,0.6168,0.4675,0.5502,0.6719,0.6168,0.4468,0.6949,0.6145,0.6535,0.6742,0.6283,0.7546,0.5846,0.6627,0.5731,0.4147,0.6535,0.6535,0.4928,0.4262,0.355,0.5111,0.4468,0.5777,0.6443,0.4445,0.1713,1.866,0.4767,0.4193,0.5387,0.4055,0.7362,0.6903,0.6122,0.541
12/7/2022,23.1585,0.4501,0.5229,0.3652,0.673,0.8336,0.6942,0.6396,0.5562,0.579,0.579,0.7381,0.4683,0.438,0.3546,0.3455,0.3865,0.3516,0.3562,0.4623,0.3956,0.394,0.4805,0.5775,0.3971,0.4168,0.4668,0.4683,0.3577,0.6775,0.4653,0.2682,0.3455,0.394,0.2985,0.3471,0.3743,0.5456,0.3652,0.1698,1.302,0.5077,0.5684,0.4577,0.5138,0.5123,0.5547,0.4244,0.3183
12/6/2022,22.9861,0.378,0.5548,0.5368,0.7856,0.8156,0.7586,0.4619,0.5263,0.4934,0.5293,0.4289,0.3345,0.4754,0.4664,0.387,0.5009,0.4559,0.5039,0.5248,0.4724,0.4784,0.4229,0.5563,0.4049,0.39,0.3195,0.5713,0.333,0.6507,0.3885,0.3225,0.3255,0.327,0.372,0.3435,0.4289,0.5084,0.4304,0.1711,1.7942,0.4559,0.3645,0.348,0.345,0.3585,0.4184,0.4154,0.351
12/5/2022,24.9698,0.5604,0.5298,0.5451,0.6707,0.7063,0.8081,0.8489,0.7335,0.7097,0.4806,0.7114,0.5672,0.4144,0.3924,0.3788,0.4976,0.4042,0.4501,0.5366,0.4059,0.5213,0.579,0.5892,0.6079,0.501,0.5383,0.3975,0.3686,0.691,0.5027,0.3686,0.4297,0.3058,0.4297,0.4348,0.4653,0.372,0.4314,0.1689,0.979,0.428,0.6401,0.5196,0.5638,0.4602,0.5756,0.3805,0.3686
12/4/2022,24.1937,0.578,0.5505,0.4355,0.7658,0.8938,0.6735,0.7561,0.7156,0.6007,0.578,0.6557,0.5294,0.4436,0.3739,0.5003,0.3901,0.4144,0.3675,0.442,0.4468,0.4258,0.4274,0.5909,0.3658,0.3173,0.3966,0.429,0.3982,0.5926,0.4484,0.2719,0.2897,0.4063,0.4209,0.2995,0.4355,0.3982,0.4355,0.1712,1.8123,0.6007,0.5553,0.4986,0.3189,0.3772,0.4339,0.4954,0.4695
